1;Speculoos miel Maya 225g  [*12];24,79 $ ;Biscuits & barres;12
2222;asdasd;24,4;B
;;;;
;;;;
3;Pain d'épices 5x2 tranches emballées 175g [*8];25,28 $ ;Biscuits & barres;8
3;Pain d'épices miel Maya 300g bloc prétranché [*12];30,56 $ ;Biscuits & barres;12
4;Biscuits BIO cacao 150g [*12];27,17 $ ;Biscuits & barres;12
5;Biscuits BIO pépites chocolat 150g [*12];27,17 $ ;Biscuits & barres;12
6;Biscuits BIO coco 150g [*12];27,17 $ ;Biscuits & barres;12
7;Biscuits BIO quinoa 250g [*12];28,30 $ ;Biscuits & barres;12
8;Mini galettes de riz au chocolat bio 60g [*10];16,90 $ ;Biscuits & barres;10
9;Barre BIO mangue-coco 33g [*24];22,42 $ ;Biscuits & barres;24
10;Barre BIO choco-crispy 33g [*24];22,42 $ ;Biscuits & barres;24
11;Barre BIO sésame 20g [*45];19,10 $ ;Biscuits & barres;45
12;Barre BIO nougat 30g [*35];18,16 $ ;Biscuits & barres;35
13;Barre BIO mangue-noix Brésil 40g [*28];22,40 $ ;Biscuits & barres;28
14;Barre BIO dattes-noix 40g [*28];22,45 $ ;Biscuits & barres;28
15;Speculoos Maya emballage individuel 200x5,5g [*1];13,96 $ ;Biscuits & barres;7
16;Sucettes miel MAYA, 6 pièces 90g [*10];15,57 $ ;Bonbons;10
17;Mini bonbons miel MAYA 150g [*10];22,64 $ ;Bonbons;10
18;Nougat miel BIO MAYA 120g [*16];36,98 $ ;Bonbons;16
19;Noussines bouchées au chocolat 280g [*6];39,57 $ ;Bonbons;6
20;Pralines bio 100g [*12];46,30 $ ;Bonbons;12
21;Bonbons café 100g [*15];17,69 $ ;Bonbons;15
22;Noix enrobée chocolat 150g [*20];53,77 $ ;Bonbons;20
23;Gommes fruits oursons BIO 100g [*16];21,89 $ ;Bonbons;16
24;Gommes fruits oursons acides BIO 100g [*16];21,89 $ ;Bonbons;16
25;Bonbons menthe BIO 100g [*20];27,36 $ ;Bonbons;20
26;Couscous 'Black Maftoul' 500g [*18];60,28 $ ;Céréales;18
27;Choco rice crispy, petit déjeuner BIO 375g [*12];35,09 $ ;Céréales;12
28;Honey balls, petit déjeuner BIO 375g [*12];35,09 $ ;Céréales;12
29;Crackers au sésame 250g [*8];24,53 $ ;Céréales;8
30;Riz BIO blanc parfumé 1kg [*12];51,51 $ ;Céréales;12
31;Riz BIO complet 1kg [*12];48,11 $ ;Céréales;12
32;Riz Basmati BIO 500g [*8];30,11 $ ;Céréales;8
33;Riz violet 500g [*12];28,87 $ ;Céréales;12
34;Riz BIO rouge 500g [*20];50,00 $ ;Céréales;20
35;15 galettes de riz BIO au sel marin 90g [*12];13,47 $ ;Céréales;12
36;Nouilles 250g [*12];19,81 $ ;Céréales;12
37;Muesli 375g [*16];49,06 $ ;Céréales;16
38;Quinoa BIO 500g [*8] Ethicable NOUVEAU;26,40 $ ;Céréales;8
39;Cacao instantané BIO 375g [*12];36,11 $ ;Chocolats;12
40;Lait cacaoté 1L [*12] (+ consigne);18,68 $ ;Chocolats;12
41;Lait cacaoté 20 cl [*24] (+ consigne);10,19 $ ;Chocolats;24
42;Chocolat lait 50g [*35];23,11 $ ;Chocolats;35
43;Chocolat praliné 50g [*35];23,11 $ ;Chocolats;35
44;Chocolat noix d'Amazonie 45g [*35];23,11 $ ;Chocolats;35
45;Chocolat fondant 50g [*35];23,11 $ ;Chocolats;35
46;Chocolat BIO blanc 85g [*12];20,94 $ ;Chocolats;12
47;Chocolat BIO lait pépites café 95g [*15];26,18 $ ;Chocolats;15
48;Chocolat BIO lait 100g [*15];24,76 $ ;Chocolats;15
49;Chocolat BIO fondant 85g [*12];19,81 $ ;Chocolats;12
50;Chocolat lait 200g [*15];31,84 $ ;Chocolats;15
51;Chocolat fondant 200g [*15];31,84 $ ;Chocolats;15
52;Fruits de mer chocolat 250g [*12];51,96 $ ;Chocolats;12
53;Granulés chocolat lait 200g [*12];22,53 $ ;Chocolats;12
54;Mignonnettes fondant 400x5g [*1];31,13 $ ;Chocolats;17
55;Carrés de chocolat en boîte Lieve Blancquaert 9gx27 [*20];169,62 $ ;Chocolats;20
56;Pâte à tartiner noisettes 400g [*12];29,32 $ ;Chocolats;12
57;Pâte à tartiner fondant 400g  [*12];28,19 $ ;Chocolats;12
58;Boîte carton pour une bouteille 75cl;0,50 $ ;Produits non alimentaires;24
59;Boîte carton pour deux bouteilles;0,66 $ ;Produits non alimentaires;23
60;Boîte carton pour trois bouteilles;0,74 $ ;Produits non alimentaires;14
61;Petite boite cadeau en carton Oxfam 220x125x320 [*25];0,70 $ ;Produits non alimentaires;32
62;Grande boite cadeau en carton Oxfam 220x270x320 [*25];1,03 $ ;Produits non alimentaires;24
